S.No.,Requested Timezone,Post Date,Location Name,Address Line1,Address Line2,City,State,Postal Code,Country,Time Zone,Serial Number,Connection Time,Disconnect Time,Total Time,Cummulative Energy,Total Fee,Fee Currency,Organization Name,Occupancy Billable Time,Total Occupancy Time,Billable Time,Plug Duration,Energy Start Time,Energy End Time,Energy Duration,Billing Unit Name,Evse Type,Max Power
1,US/Mountain,9/24/2023 20:15,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012964,9/24/2023 17:15,9/24/2023 20:15,3:00:34,9.9388867,3.88,USD,Portland State University,0:00:02,0:00:02,3:00:32,3:00:34,9/24/2023 16:15,9/24/2023 19:15,3:00:32,kWh,Level 2,3364.416
2,US/Mountain,9/4/2023 20:37,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012498,9/4/2023 18:07,9/4/2023 20:37,2:29:54,15.9135469,6.21,USD,Portland State University,0:00:04,0:00:04,2:29:50,2:29:54,9/4/2023 17:07,9/4/2023 19:37,2:29:50,kWh,Level 2,8640
3,US/Mountain,9/4/2023 21:35,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012498,9/4/2023 21:08,9/4/2023 21:35,0:26:54,2.5642773,1,USD,Portland State University,0:00:03,0:00:03,0:26:51,0:26:54,9/4/2023 20:08,9/4/2023 20:35,0:26:51,kWh,Level 2,8640
4,US/Mountain,10/8/2023 12:21,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012498,10/8/2023 10:15,10/8/2023 12:21,2:06:06,12.0543672,4.7,USD,Portland State University,0:00:03,0:00:03,2:06:03,2:06:06,10/8/2023 9:15,10/8/2023 11:21,2:06:03,kWh,Level 2,8640
5,US/Mountain,10/1/2023 16:54,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012498,9/30/2023 18:32,10/1/2023 16:54,22:21:59,16.0433594,6.26,USD,Portland State University,18:43:57,18:43:57,3:38:02,22:21:59,9/30/2023 17:32,10/1/2023 15:54,3:38:02,kWh,Level 2,8640
6,US/Mountain,9/1/2023 9:00,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004638,8/31/2023 15:54,9/1/2023 9:00,17:05:11,21.568625,8.41,USD,Portland State University,12:39:28,12:39:28,4:25:43,17:05:11,8/31/2023 14:54,9/1/2023 8:00,4:25:43,kWh,Level 2,6775.4016
7,US/Mountain,9/5/2023 16:00,Portland State University - Parking One,1872 Southwest Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004561,9/5/2023 10:52,9/5/2023 16:00,5:07:46,4.6933711,1.83,USD,Portland State University,2:57:35,2:57:35,2:10:11,5:07:46,9/5/2023 9:52,9/5/2023 15:00,2:10:11,kWh,Level 2,6633.4752
8,US/Mountain,10/8/2023 13:01,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012964,10/8/2023 11:54,10/8/2023 13:01,1:07:26,3.5363008,1.73,USD,Portland State University,0:00:03,0:00:03,1:07:23,1:07:26,10/8/2023 10:54,10/8/2023 12:01,1:07:23,kWh,Level 2,3364.416
9,US/Mountain,9/6/2023 13:12,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004640,9/6/2023 9:32,9/6/2023 13:12,3:40:08,22.4779336,8.77,USD,Portland State University,0:00:11,0:00:11,3:39:57,3:40:08,9/6/2023 8:32,9/6/2023 12:12,3:39:57,kWh,Level 2,6728.832
10,US/Mountain,9/1/2023 0:42,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012964,9/1/2023 0:16,9/1/2023 0:42,0:26:10,1.396957,0.69,USD,Portland State University,0:00:03,0:00:03,0:26:07,0:26:10,8/31/2023 23:16,8/31/2023 23:42,0:26:07,kWh,Level 2,3364.416
