X,Y,OBJECTID,CountID,ChannelID,LocationDesc,Bound,StartDate,StartDay,StartTime,EndDate,EndDay,EndTime,ADTVolume,PctCars,PctTrucks,TwoAxleCF,ExceptType,NumChannels,ChannelNum,NumCategories,Conditions,Comment,Duration,IntervalLen,DeviceRef,LocationID,LocationClass,CountLocDesc,CountType
-13666261.3309,5722466.9793,1,10010422.CL2,500769,N LOMBARD ST E of SIMMONS RD,E,2010/01/04 00:00:00+00,MON,12:00:00,2010/01/05 00:00:00+00,TUE,23:00:00,3049,63.5,36.5,0.749,Normal Weekday,2,1,14,,15925,36,60,0022,LEG11527,NODELEG,N LOMBARD ST E/N SIMMONS RD,CLASS
-13666261.3309,5722466.9793,2,10010422.CL2,500770,N LOMBARD ST E of SIMMONS RD,W,2010/01/04 00:00:00+00,MON,12:00:00,2010/01/05 00:00:00+00,TUE,23:00:00,3409,65.6,34.4,0.773,Normal Weekday,2,2,14,,15925,36,60,0022,LEG11527,NODELEG,N LOMBARD ST E/N SIMMONS RD,CLASS
-13663904.8261,5711466.2873,3,10010421.CL1,500773,NW FRONT AVE E of 61ST AVE,N,2010/01/04 00:00:00+00,MON,13:00:00,2010/01/06 00:00:00+00,WED,14:00:00,1523,65.3,34.7,0.857,Normal Weekday,1,1,14,,,50,60,0021,LEG37236,NODELEG,NW FRONT AVE S/NW 61ST AVE,CLASS
-13663904.8261,5711466.2873,4,10010432.CL1,500776,NW FRONT AVE E of 61ST AVE,S,2010/01/04 00:00:00+00,MON,13:00:00,2010/01/06 00:00:00+00,WED,13:00:00,1450,63.3,36.7,0.781,Normal Weekday,1,1,14,,,49,60,0032,LEG37236,NODELEG,NW FRONT AVE S/NW 61ST AVE,CLASS
-13663933.6073,5711498.9549,5,10011227.CL2,500781,NW FRONT AVE N of 61ST AVE,N,2010/01/12 00:00:00+00,TUE,15:00:00,2010/01/14 00:00:00+00,THU,07:00:00,640,92.1,7.9,0.972,Normal Weekday,2,1,14,,,41,60,0027,LEG37233,NODELEG,NW FRONT AVE N/NW 61ST AVE,CLASS
-13663933.6073,5711498.9549,6,10011227.CL2,500782,NW FRONT AVE N of 61ST AVE,S,2010/01/12 00:00:00+00,TUE,15:00:00,2010/01/14 00:00:00+00,THU,07:00:00,663,93,7,0.97,Normal Weekday,2,2,14,,,41,60,0027,LEG37233,NODELEG,NW FRONT AVE N/NW 61ST AVE,CLASS
-13652793.7282,5702148.698,7,10011224.CL2,500785,SE 20TH AVE N of STEPHENS ST,N,2010/01/12 00:00:00+00,TUE,11:00:00,2010/01/15 00:00:00+00,FRI,23:00:00,2291,98,2,0.998,Normal Weekday,2,1,14,,"D 827 S/HAWTHORNE; StationID = SN:019833",85,60,0024,LEG43556,NODELEG,SE 20TH AVE N/SE STEPHENS ST,CLASS
-13652793.7282,5702148.698,8,10011224.CL2,500786,SE 20TH AVE N of STEPHENS ST,S,2010/01/12 00:00:00+00,TUE,11:00:00,2010/01/15 00:00:00+00,FRI,23:00:00,2423,97.5,2.5,0.994,Normal Weekday,2,2,14,,"D 827 S/HAWTHORNE; StationID = SN:019833",85,60,0024,LEG43556,NODELEG,SE 20TH AVE N/SE STEPHENS ST,CLASS
-13652792.1312,5701678.4774,9,10011232.CL2,500787,SE 20TH AVE S of GRANT ST,N,2010/01/12 00:00:00+00,TUE,11:00:00,2010/01/15 00:00:00+00,FRI,23:00:00,1707,97.8,2.2,0.996,Normal Weekday,2,1,14,,G 1843 S/HAWTHORNE,85,60,0032,LEG43619,NODELEG,SE 20TH AVE S/SE GRANT ST,CLASS
-13652792.1312,5701678.4774,10,10011232.CL2,500788,SE 20TH AVE S of GRANT ST,S,2010/01/12 00:00:00+00,TUE,11:00:00,2010/01/15 00:00:00+00,FRI,23:00:00,2341,97.8,2.2,0.998,Normal Weekday,2,2,14,,G 1843 S/HAWTHORNE,85,60,0032,LEG43619,NODELEG,SE 20TH AVE S/SE GRANT ST,CLASS
